data/namaPerusahaan,data/alamatPerusahaan
Astra Agro Lestari Tbk.,
Mahaka Media Tbk.,
Asuransi Bina Dana Arta Tbk.,
ABM Investama Tbk.,
Aspirasi Hidup Indonesia Tbk.,
Samcro Hyosung Adilestari Tbk.,
Acset Indonusa Tbk.,
Adhi Commuter Properti Tbk.,
Akasha Wira International Tbk.,
Adhi Karya (Persero) Tbk.,
Adira Dinamika Multi Finance T,
Polychem Indonesia Tbk,
Adaro Minerals Indonesia Tbk.,
Adaro Energy Indonesia Tbk.,
Anugerah Spareparts Sejahtera ,
Asia Sejahtera Mina Tbk.,
Samator Indo Gas Tbk.,
Bank Raya Indonesia Tbk.,
Bank IBK Indonesia Tbk.,
Asuransi Harta Aman Pratama Tb,
Artha Mahiya Investama Tbk.,
FKS Food Sejahtera Tbk.,
Anugerah Kagum Karya Utama Tbk,
Argha Karya Prima Industry Tbk,
AKR Corporindo Tbk.,
Mineral Sumberdaya Mandiri Tbk,
Alkindo Naratama Tbk.,
Ancara Logistics Indonesia Tbk,
Alakasa Industrindo Tbk,
Alumindo Light Metal Industry ,
Tri Banyan Tirta Tbk.,
Asuransi Multi Artha Guna Tbk.,
Makmur Berkah Amanda Tbk.,
Bank Amar Indonesia Tbk.,
Asahimas Flat Glass Tbk.,
Ateliers Mecaniques D Indonesi,
Amman Mineral Internasional Tb,
Agung Menjangan Mas Tbk.,
Ashmore Asset Management Indon,
Sumber Alfaria Trijaya Tbk.,
Andira Agro Tbk.,
Austindo Nusantara Jaya Tbk.,
Aneka Tambang Tbk.,
Apexindo Pratama Duta Tbk.,
Pacific Strategic Financial Tb,
Arita Prima Indonesia Tbk.,
Asiaplast Industries Tbk.,
Agung Podomoro Land Tbk.,
Archi Indonesia Tbk.,
Dunia Virtual Online Tbk.,
Argo Pantes Tbk,
Atlas Resources Tbk.,
Arkha Jayanti Persada Tbk.,
Arkora Hydro Tbk.,
Armidian Karyatama Tbk.,
Arwana Citramulia Tbk.,
Arthavest Tbk,
Ratu Prabu Energi Tbk,
Bank Jago Tbk.,
Asuransi Bintang Tbk.,
Asuransi Dayin Mitra Tbk.,
Astra Graphia Tbk.,
Cilacap Samudera Fishing Indus,
Astra International Tbk.,
Asuransi Jasa Tania Tbk.,
Autopedia Sukses Lestari Tbk.,
Asri Karya Lestari Tbk.,
Asuransi Maximus Graha Persada,
Andalan Sakti Primaindo Tbk.,
Alam Sutera Realty Tbk.,
Asuransi Ramayana Tbk.,
Adi Sarana Armada Tbk.,
Trimitra Prawara Goldland Tbk.,
Anabatic Technologies Tbk.,
Atlantis Subsea Indonesia Tbk.,
Astra Otoparts Tbk.,
Avia Avian Tbk.,
Era Digital Media Tbk.,
Tera Data Indonusa Tbk.,
Janu Putra Sejahtera Tbk.,
Agro Yasa Lestari Tbk.,
Bank MNC Internasional Tbk.,
Multitrend Indo Tbk.,
Bank Capital Indonesia Tbk.,
Bersama Mencapai Puncak Tbk.,
Saranacentral Bajatama Tbk.,
Bali Towerindo Sentra Tbk.,
Bank Aladin Syariah Tbk.,
Bekasi Asri Pemula Tbk.,
Bhakti Agung Propertindo Tbk.,
Sepatu Bata Tbk.,
Benteng Api Technic Tbk.,
Mitra Angkasa Sejahtera Tbk.,
Bayu Buana Tbk,
Bank Central Asia Tbk.,
Allo Bank Indonesia Tbk.,
Bank KB Bukopin Tbk.,
Buana Finance Tbk.,
Bank Mestika Dharma Tbk.,
Bank Negara Indonesia (Persero,
Bank Rakyat Indonesia (Persero,
Pelayaran Nasional Bina Buana ,
Krom Bank Indonesia Tbk.,
Bumi Benowo Sukses Sejahtera T,
Bank Tabungan Negara (Persero),
Bank Neo Commerce Tbk.,
MNC Kapital Indonesia Tbk.,
Bank JTrust Indonesia Tbk.,
Bumi Citra Permai Tbk.,
Berdikari Pondasi Perkasa Tbk.,
Bank Danamon Indonesia Tbk.,
Berkah Beton Sadaya Tbk.,
Estika Tata Tiara Tbk.,
Jobubu Jarum Minahasa Tbk.,
Bank Pembangunan Daerah Banten,
Global Digital Niaga Tbk.,
Trisula Textile Industries Tbk,
Batulicin Nusantara Maritim Tb,
Bekasi Fajar Industrial Estate,
BFI Finance  Indonesia Tbk.,
Bank Ganesha Tbk.,
Bhakti Multi Artha Tbk.,
MNC Asia Holding Tbk.,
Binakarya Jaya Abadi Tbk.,
Sepeda Bersama Indonesia Tbk.,
Primarindo Asia Infrastructure,
Bank Ina Perdana Tbk.,
Perma Plasindo Tbk.,
Astrindo Nusantara Infrastrukt,
Bhuwanatala Indah Permai Tbk.,
Blue Bird Tbk.,
BISI International Tbk.,
Bank Pembangunan Daerah Jawa B,
Bank Pembangunan Daerah Jawa T,
Bukit Darmo Property Tbk,
Sentul City Tbk.,
Bank QNB Indonesia Tbk.,
Superior Prima Sukses Tbk.,
Berlian Laju Tanker Tbk,
Graha Layar Prima Tbk.,
Berkah Prima Perkasa Tbk.,
Bank Maspion Indonesia Tbk.,
Lavender Bina Cendikia Tbk.,
Bundamedik Tbk.,
Bank Mandiri (Persero) Tbk.,
Bintang Mitra Semestaraya Tbk,
Global Mediacom Tbk.,
Bank Bumi Arta Tbk.,
Bakrie & Brothers Tbk,
Bank CIMB Niaga Tbk.,
Bank Maybank Indonesia Tbk.,
Bank Permata Tbk.,
Formosa Ingredient Factory Tbk,
Bintang Oto Global Tbk.,
Bali Bintang Sejahtera Tbk.,
Garuda Metalindo Tbk.,
Borneo Olah Sarana Sukses Tbk.,
Woori Finance Indonesia Tbk.,
Batavia Prosperindo Internasio,
Batavia Prosperindo Trans Tbk.,
Indo Kordsa Tbk.,
Barito Renewables Energy Tbk.,
Bank Syariah Indonesia Tbk.,
Bumi Resources Minerals Tbk.,
Berlina Tbk.,
Barito Pacific Tbk.,
